name,BestMCC,ObjatBestMCC,TimeatBestMCC,BestObj,TimeatBestObj,MFEatBestMCC,MFEatBestObj,MCCatBestObj,TP,TN,FN,FP,PostProcessMCC,MinDist,Backtracks,Repeat,TimeLimit,Vars
PDB_00061,0.742,495,0.0,495,0.0,-18.2,-18.2,0.742,22,3,2,0,-100,4,4,2,60,48
PDB_00062,0.264,477,0.0,477,0.0,-15.5,-15.5,0.264,19,2,3,3,-100,4,4,2,60,49
PDB_00063,0.742,495,0.0,495,0.0,-18.2,-18.2,0.742,22,3,2,0,-100,4,4,2,60,48
PDB_00064,0.264,477,0.0,477,0.0,-15.5,-15.5,0.264,19,2,3,3,-100,4,4,2,60,49
PDB_00065,0.177,-100,60.0,207,0.0,-1.6,-4.8,0.171,9,8,5,7,0.177,4,4,2,60,40
PDB_00066,1.0,206,60.0,206,60.0,-4.7,-4.7,1.0,10,4,0,0,-100,4,4,2,60,7
PDB_00067,1.0,209,60.0,209,60.0,-10.2,-10.2,1.0,14,8,0,0,-100,4,4,2,60,14
PDB_00068,1.0,212,60.0,212,60.0,-4.1,-4.1,1.0,10,7,0,0,0.772,4,4,2,60,11
PDB_00069,1.0,145,60.0,145,60.0,-3.7,-3.7,1.0,8,6,0,0,0.73,4,4,2,60,5
PDB_00072,0.204,4284,13.4,7629,66.6,-19.2,-129.8,0.093,262,77,158,48,0.111,4,1569.7,2,60,15697
PDB_00073,-0.02,74,0.0,158,0.0,-1.2,-3.5,-0.033,3,10,11,3,-0.038,4,4,2,60,35
PDB_00074,0.194,433,0.0,433,0.0,-10.5,-10.5,0.194,18,2,6,2,-100,4,4,2,60,46
PDB_00075,0.714,295,60.0,295,60.0,-11.7,-11.7,0.714,16,7,4,0,0.478,4,4,2,60,40
PDB_00076,0.714,295,60.0,295,60.0,-11.7,-11.7,0.714,16,7,4,0,0.478,4,4,2,60,40
PDB_00077,1.0,131,60.0,131,60.0,-2.2,-2.2,1.0,8,0,4,0,-100,4,4,2,60,11
PDB_00078,0.28,2905,35.2,3069,60.4,-43.2,-50.2,0.264,140,68,58,50,0.254,4,687.8,2,60,6878
PDB_00079,0.244,3967,26.2,4099,72.6,-49.5,-55.9,0.222,172,130,60,132,0.228,4,1662.2,2,60,16622
PDB_00080,1.0,81,0.0,222,60.0,1.9,-1.6,1.0,8,0,8,0,-100,4,4,2,60,10
PDB_00081,0.667,401,60.0,401,60.0,-10.8,-10.8,0.667,16,2,2,0,-100,4,4,2,60,26
PDB_00082,0.371,2335,3.9,2713,61.0,-19.9,-37.4,0.316,126,89,66,34,0.289,4,688.0,2,60,6880
PDB_00083,1.0,74,60.0,74,60.0,-3.7,-3.7,1.0,6,7,0,0,-100,4,4,2,60,3
PDB_00084,1.0,74,60.0,74,60.0,-3.7,-3.7,1.0,6,7,0,0,0.732,4,4,2,60,4
PDB_00085,1.0,74,60.0,74,60.0,-3.7,-3.7,1.0,6,7,0,0,-100,4,4,2,60,3
PDB_00086,1.0,74,60.0,74,60.0,-3.7,-3.7,1.0,6,7,0,0,0.732,4,4,2,60,3
PDB_00087,1.0,74,60.0,74,60.0,-3.7,-3.7,1.0,6,7,0,0,-100,4,4,2,60,3
